Gene ID	GO	KO
GFH19336	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19336" target="_blank">GFH19336</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
GFH19337	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19337" target="_blank">GFH19337</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
GFH19343	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19343" target="_blank">GFH19343</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17868" target="_blank">K17868</a>
GFH19355	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19355" target="_blank">GFH19355</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17086" target="_blank">K17086</a>
GFH19356	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19356" target="_blank">GFH19356</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
GFH19374	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19374" target="_blank">GFH19374</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015696" target="_blank">ammonium transport (GO:0015696)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008519" target="_blank">ammonium transmembrane transporter activity (GO:0008519)</a>	
GFH19375	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19375" target="_blank">GFH19375</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00106" target="_blank">K00106</a>
GFH19378	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19378" target="_blank">GFH19378</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
GFH19387	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19387" target="_blank">GFH19387</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06943" target="_blank">K06943</a>
GFH19390	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19390" target="_blank">GFH19390</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12663" target="_blank">K12663</a>
GFH19399	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19399" target="_blank">GFH19399</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19408	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19408" target="_blank">GFH19408</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14407" target="_blank">K14407</a>
GFH19416	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19416" target="_blank">GFH19416</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04078" target="_blank">K04078</a>
GFH19418	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19418" target="_blank">GFH19418</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19426	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19426" target="_blank">GFH19426</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00826" target="_blank">K00826</a>
GFH19433	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19433" target="_blank">GFH19433</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19436	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19436" target="_blank">GFH19436</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH19438	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19438" target="_blank">GFH19438</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	
GFH19448	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19448" target="_blank">GFH19448</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019843" target="_blank">rRNA binding (GO:0019843)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02933" target="_blank">K02933</a>
GFH19459	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19459" target="_blank">GFH19459</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17681" target="_blank">K17681</a>
GFH19469	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19469" target="_blank">GFH19469</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03118" target="_blank">K03118</a>
GFH19473	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19473" target="_blank">GFH19473</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009190" target="_blank">cyclic nucleotide biosynthetic process (GO:0009190)</a>	
GFH19475	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19475" target="_blank">GFH19475</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046983" target="_blank">protein dimerization activity (GO:0046983)</a>	
GFH19476	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19476" target="_blank">GFH19476</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009538" target="_blank">photosystem I reaction center (GO:0009538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">photosystem I (GO:0009522)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a>	
GFH19478	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19478" target="_blank">GFH19478</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016715" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen (GO:0016715)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005507" target="_blank">copper ion binding (GO:0005507)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004497" target="_blank">monooxygenase activity (GO:0004497)</a>	
GFH19483	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19483" target="_blank">GFH19483</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016765" target="_blank">transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11778" target="_blank">K11778</a>
GFH19489	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19489" target="_blank">GFH19489</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH19493	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19493" target="_blank">GFH19493</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19494	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19494" target="_blank">GFH19494</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	
GFH19509	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19509" target="_blank">GFH19509</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005643" target="_blank">nuclear pore (GO:0005643)</a>	
GFH19512	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19512" target="_blank">GFH19512</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH19517	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19517" target="_blank">GFH19517</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006812" target="_blank">cation transport (GO:0006812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015299" target="_blank">solute:proton antiporter activity (GO:0015299)</a>	
GFH19519	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19519" target="_blank">GFH19519</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005839" target="_blank">proteasome core complex (GO:0005839)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051603" target="_blank">proteolysis involved in cellular protein catabolic process (GO:0051603)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004298" target="_blank">threonine-type endopeptidase activity (GO:0004298)</a>	
GFH19521	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19521" target="_blank">GFH19521</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009073" target="_blank">aromatic amino acid family biosynthetic process (GO:0009073)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003856" target="_blank">3-dehydroquinate synthase activity (GO:0003856)</a>	
GFH19529	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19529" target="_blank">GFH19529</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016818" target="_blank">hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	
GFH19534	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19534" target="_blank">GFH19534</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19535	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19535" target="_blank">GFH19535</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19538	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19538" target="_blank">GFH19538</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
GFH19559	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19559" target="_blank">GFH19559</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0017070" target="_blank">U6 snRNA binding (GO:0017070)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH19560	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19560" target="_blank">GFH19560</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000398" target="_blank">mRNA splicing, via spliceosome (GO:0000398)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030623" target="_blank">U5 snRNA binding (GO:0030623)</a>	
GFH19562	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19562" target="_blank">GFH19562</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	
GFH19567	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19567" target="_blank">GFH19567</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009082" target="_blank">branched-chain amino acid biosynthetic process (GO:0009082)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004455" target="_blank">ketol-acid reductoisomerase activity (GO:0004455)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00053" target="_blank">K00053</a>
GFH19569	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19569" target="_blank">GFH19569</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042025" target="_blank">host cell nucleus (GO:0042025)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000786" target="_blank">nucleosome (GO:0000786)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006334" target="_blank">nucleosome assembly (GO:0006334)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
GFH19571	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19571" target="_blank">GFH19571</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0042025" target="_blank">host cell nucleus (GO:0042025)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000786" target="_blank">nucleosome (GO:0000786)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006334" target="_blank">nucleosome assembly (GO:0006334)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11275" target="_blank">K11275</a>
GFH19572	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH19572" target="_blank">GFH19572</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003697" target="_blank">single-stranded DNA binding (GO:0003697)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10872" target="_blank">K10872</a>
